	iid	bam	sex
98	PTN262	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN262/trimmed_bam/PTN262_ss.B0101_udghalf.trimmed.bam	m
99	PTN369	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN369/trimmed_bam/PTN369_ss.A0101_udghalf.trimmed.bam	m
100	PTN275	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN275/trimmed_bam/PTN275_ss.A0101_udghalf.trimmed.bam	m
101	PTN173	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN173/merged_bams/initial/PTN173_ss_udghalf_libmerged_rmdup.bam	m
102	PTN273	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN273/trimmed_bam/PTN273_ss.A0101_udghalf.trimmed.bam	m
103	PTN206	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN206/merged_bams/initial/PTN206_ss_udghalf_libmerged_rmdup.bam	m
104	PTN390	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN390/trimmed_bam/PTN390_ss.A0101_udghalf.trimmed.bam	m
105	PTN338	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN338/trimmed_bam/PTN338_ss.B0101_udghalf.trimmed.bam	m
106	PTN136	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN136/trimmed_bam/PTN136_ss.A0101_udghalf.trimmed.bam	m
107	PTN375	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN375/trimmed_bam/PTN375_ss.A0101_udghalf.trimmed.bam	m
108	PTN327	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN327/trimmed_bam/PTN327_ss.A0101_udghalf.trimmed.bam	m
109	PTN320	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN320/trimmed_bam/PTN320_ss.B0101_udghalf.trimmed.bam	m
110	PTN087	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN087/trimmed_bam/PTN087_ss.B0101_udghalf.trimmed.bam	m
111	PTN298	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN298/trimmed_bam/PTN298_ss.A0101_udghalf.trimmed.bam	m
112	PTN229	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN229/merged_bams/initial/PTN229_ss_udghalf_libmerged_rmdup.bam	m
113	PTN365	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN365/trimmed_bam/PTN365_ss.A0101_udghalf.trimmed.bam	m
114	PTN185	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN185/merged_bams/initial/PTN185_ss_udghalf_libmerged_rmdup.bam	m
115	PTN079	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN079/trimmed_bam/PTN079_ss.A0101_udghalf.trimmed.bam	m
116	PTN104	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN104/trimmed_bam/PTN104_ss.A0101_udghalf.trimmed.bam	m
117	PTN312	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN312/merged_bams/initial/PTN312_ss_udghalf_libmerged_rmdup.bam	m
118	PTN296	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN296/trimmed_bam/PTN296_ss.B0101_udghalf.trimmed.bam	m
119	PTN266	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN266/trimmed_bam/PTN266_ss.A0101_udghalf.trimmed.bam	m
120	PTN249	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN249/merged_bams/initial/PTN249_ss_udghalf_libmerged_rmdup.bam	m
121	PTN371	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN371/trimmed_bam/PTN371_ss.B0101_udghalf.trimmed.bam	m
122	PTN463	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN463/trimmed_bam/PTN463_ss.A0101_udghalf.trimmed.bam	m
123	PTN333	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN333/trimmed_bam/PTN333_ss.A0101_udghalf.trimmed.bam	m
124	PTN392	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN392/trimmed_bam/PTN392_ss.A0101_udghalf.trimmed.bam	m
125	PTN117	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN117/trimmed_bam/PTN117_ss.B0101_udghalf.trimmed.bam	m
126	PTN252	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN252/merged_bams/initial/PTN252_ss_udghalf_libmerged_rmdup.bam	m
127	PTN281	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN281/trimmed_bam/PTN281_ss.A0101_udghalf.trimmed.bam	m
128	PTN198	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN198/merged_bams/initial/PTN198_ss_udghalf_libmerged_rmdup.bam	m
129	PTN167	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN167/merged_bams/initial/PTN167_ss_udghalf_libmerged_rmdup.bam	m
130	PTN216	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN216/merged_bams/initial/PTN216_ss_udghalf_libmerged_rmdup.bam	m
131	PTN152	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN152/trimmed_bam/PTN152_ss.B0101_udghalf.trimmed.bam	m
132	NKR002	/mnt/archgen/Autorun_eager/eager_outputs/SG/NKR/NKR002/trimmed_bam/NKR002_ss.A0101_udghalf.trimmed.bam	m
133	PTN159	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN159/trimmed_bam/PTN159_ss.A0101_udghalf.trimmed.bam	m
134	KKH017	/mnt/archgen/Autorun_eager/eager_outputs/SG/KKH/KKH017/trimmed_bam/KKH017_ss.A0101_udghalf.trimmed.bam	m
135	PTN352	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN352/trimmed_bam/PTN352_ss.B0101_udghalf.trimmed.bam	m
