iid	bam	sex
PTN088	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN088/trimmed_bam/PTN088_ss.A0101_udghalf.trimmed.bam	m
PTN429	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN429/trimmed_bam/PTN429_ss.A0101_udghalf.trimmed.bam	f
PTN472	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN472/trimmed_bam/PTN472_ss.A0101_udghalf.trimmed.bam	m
PTN113	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN113/trimmed_bam/PTN113_ss.A0101_udghalf.trimmed.bam	m
KKH010	/mnt/archgen/Autorun_eager/eager_outputs/SG/KKH/KKH010/trimmed_bam/KKH010_ss.A0101_udghalf.trimmed.bam	f
PTN319	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN319/trimmed_bam/PTN319_ss.B0101_udghalf.trimmed.bam	f
PTN190	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN190/merged_bams/initial/PTN190_ss_udghalf_libmerged_rmdup.bam	m
PTN332	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN332/trimmed_bam/PTN332_ss.A0101_udghalf.trimmed.bam	m
PTN171	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN171/merged_bams/initial/PTN171_ss_udghalf_libmerged_rmdup.bam	f
PTN481	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN481/trimmed_bam/PTN481_ss.A0101_udghalf.trimmed.bam	f
PTN013	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN013/merged_bams/additional/PTN013_ss_libmerged_add.bam	m
PTN196	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN196/merged_bams/initial/PTN196_ss_udghalf_libmerged_rmdup.bam	m
PTN497	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN497/trimmed_bam/PTN497_ss.A0101_udghalf.trimmed.bam	m
PTN101	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN101/trimmed_bam/PTN101_ss.A0101_udghalf.trimmed.bam	f
PTN315	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN315/trimmed_bam/PTN315_ss.B0101_udghalf.trimmed.bam	f
PTN366	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN366/trimmed_bam/PTN366_ss.A0101_udghalf.trimmed.bam	m
PTN486	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN486/merged_bams/initial/PTN486_ss_udghalf_libmerged_rmdup.bam	f
PTN309	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN309/trimmed_bam/PTN309_ss.A0101_udghalf.trimmed.bam	f
